rank,category,prompt,mean_score,std_score,min_score,max_score,n_samples,audio_paths
15,COMPOUND_PHRASES,delicate harp arpeggio with strings,0.387216,0.008238,0.378978,0.395454,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__delicate_harp_arpeggio_with_strings__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__delicate_harp_arpeggio_with_strings__s1.wav
16,COMPOUND_PHRASES,pulsating techno synthesizer with kick drum,0.384391,0.046479,0.337911,0.430870,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__pulsating_techno_synthesizer_with_kick_d__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__pulsating_techno_synthesizer_with_kick_d__s1.wav
17,GENRES,classical orchestral music,0.383334,0.038456,0.344878,0.421790,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__classical_orchestral_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__classical_orchestral_music__s1.wav
18,TEXTURES,bright and shimmering music,0.382657,0.020884,0.361773,0.403541,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__bright_and_shimmering_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__bright_and_shimmering_music__s1.wav
19,GENRES,baroque music,0.378774,0.049044,0.329730,0.427818,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__baroque_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__baroque_music__s1.wav
20,EMOTION_MOOD,mysterious and eerie soundscape,0.377456,0.031093,0.346363,0.408548,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__mysterious_and_eerie_soundscape__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__mysterious_and_eerie_soundscape__s1.wav
21,COMPOUND_PHRASES,tense thriller music with staccato strings,0.374108,0.017080,0.357028,0.391187,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__tense_thriller_music_with_staccato_strin__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__tense_thriller_music_with_staccato_strin__s1.wav
22,INSTRUMENTS,harp arpeggio,0.372814,0.029383,0.343431,0.402196,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__harp_arpeggio__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__harp_arpeggio__s1.wav
23,INSTRUMENTS,flute melody,0.366682,0.009730,0.356952,0.376411,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__flute_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__flute_melody__s1.wav
24,TEXTURES,warm and mellow music,0.365552,0.025913,0.339639,0.391464,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__warm_and_mellow_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__warm_and_mellow_music__s1.wav
25,INSTRUMENTS,saxophone jazz improvisation,0.363927,0.006770,0.357157,0.370697,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__saxophone_jazz_improvisation__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__saxophone_jazz_improvisation__s1.wav
26,INSTRUMENTS,oboe classical melody,0.360110,0.098447,0.261663,0.458558,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__oboe_classical_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__oboe_classical_melody__s1.wav
27,COMPOUND_PHRASES,dark orchestral tension with low brass,0.355652,0.050812,0.304840,0.406464,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__dark_orchestral_tension_with_low_brass__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__dark_orchestral_tension_with_low_brass__s1.wav
28,COMPOUND_PHRASES,mysterious ambient synthesizer pad,0.354118,0.005196,0.348922,0.359314,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__mysterious_ambient_synthesizer_pad__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__mysterious_ambient_synthesizer_pad__s1.wav
29,ENVIRONMENTS,crackling fire,0.352843,0.018488,0.334354,0.371331,2,scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__crackling_fire__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__crackling_fire__s1.wav
30,COMPOUND_PHRASES,eerie theremin melody with strings,0.351492,0.011342,0.340150,0.362834,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__eerie_theremin_melody_with_strings__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__eerie_theremin_melody_with_strings__s1.wav
31,EMOTION_MOOD,ethereal and dreamy soundscape,0.348084,0.041379,0.306705,0.389464,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__ethereal_and_dreamy_soundscape__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__ethereal_and_dreamy_soundscape__s1.wav
32,GENRES,drum and bass music,0.342166,0.022221,0.319945,0.364387,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__drum_and_bass_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__drum_and_bass_music__s1.wav
33,INSTRUMENTS,french horn fanfare,0.341180,0.009280,0.331901,0.350460,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__french_horn_fanfare__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__french_horn_fanfare__s1.wav
34,TEXTURES,legato flowing music,0.340571,0.031838,0.308733,0.372409,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__legato_flowing_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__legato_flowing_music__s1.wav
35,EMOTION_MOOD,tense and suspenseful music,0.340176,0.014830,0.325346,0.355006,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__tense_and_suspenseful_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__tense_and_suspenseful_music__s1.wav
36,COMPOUND_PHRASES,atmospheric dark jazz with muted trumpet,0.340034,0.014491,0.325544,0.354525,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__atmospheric_dark_jazz_with_muted_trumpet__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__atmospheric_dark_jazz_with_muted_trumpet__s1.wav
37,COMPOUND_PHRASES,distorted electric guitar power chords,0.338638,0.061558,0.277080,0.400196,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__distorted_electric_guitar_power_chords__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__distorted_electric_guitar_power_chords__s1.wav
38,TEXTURES,lo-fi degraded audio,0.338403,0.049926,0.288477,0.388329,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__lo_fi_degraded_audio__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__lo_fi_degraded_audio__s1.wav
39,EMOTION_MOOD,anxious and unsettling music,0.337304,0.039077,0.298227,0.376381,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__anxious_and_unsettling_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__anxious_and_unsettling_music__s1.wav
40,COMPOUND_PHRASES,gentle piano melody with soft strings,0.336318,0.007734,0.328583,0.344052,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__gentle_piano_melody_with_soft_strings__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__gentle_piano_melody_with_soft_strings__s1.wav
41,COMPOUND_PHRASES,epic cinematic orchestra with choir,0.331712,0.022965,0.308746,0.354677,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__epic_cinematic_orchestra_with_choir__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__epic_cinematic_orchestra_with_choir__s1.wav
42,TEXTURES,reverberant echoing music,0.325269,0.028301,0.296968,0.353570,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__reverberant_echoing_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__reverberant_echoing_music__s1.wav
43,COMPOUND_PHRASES,melancholic piano melody with ambient strings,0.321864,0.066741,0.255123,0.388604,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__melancholic_piano_melody_with_ambient_st__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__melancholic_piano_melody_with_ambient_st__s1.wav
44,GENRES,techno music,0.321679,0.024911,0.296768,0.346590,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__techno_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__techno_music__s1.wav
45,INSTRUMENTS,marimba percussion,0.321221,0.021519,0.299702,0.342739,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__marimba_percussion__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__marimba_percussion__s1.wav
46,COMPOUND_PHRASES,slow and sorrowful piano ballad,0.319641,0.036632,0.283009,0.356273,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__slow_and_sorrowful_piano_ballad__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__slow_and_sorrowful_piano_ballad__s1.wav
47,COMPOUND_PHRASES,driving synthesizer arpeggio with drum machine,0.316943,0.028814,0.288129,0.345757,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__driving_synthesizer_arpeggio_with_drum_m__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__driving_synthesizer_arpeggio_with_drum_m__s1.wav
48,INSTRUMENTS,violin string melody,0.316207,0.013704,0.302502,0.329911,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__violin_string_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__violin_string_melody__s1.wav
49,GENRES,jazz improvisation,0.311650,0.011854,0.299796,0.323504,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__jazz_improvisation__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__jazz_improvisation__s1.wav
50,EMOTION_MOOD,melancholic and reflective music,0.308998,0.026368,0.282630,0.335365,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__melancholic_and_reflective_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__melancholic_and_reflective_music__s1.wav
51,EMOTION_MOOD,aggressive and intense music,0.307985,0.023141,0.284844,0.331126,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__aggressive_and_intense_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__aggressive_and_intense_music__s1.wav
52,GENRES,full orchestral arrangement,0.306560,0.004868,0.301692,0.311429,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__full_orchestral_arrangement__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__full_orchestral_arrangement__s1.wav
53,ENVIRONMENTS,forest nature ambience,0.304518,0.045224,0.259294,0.349742,2,scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__forest_nature_ambience__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__forest_nature_ambience__s1.wav
54,TEXTURES,dark and heavy music,0.304446,0.007785,0.296661,0.312231,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__dark_and_heavy_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__dark_and_heavy_music__s1.wav
55,COMPOUND_PHRASES,haunting minor key string quartet,0.303616,0.060033,0.243584,0.363649,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__haunting_minor_key_string_quartet__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__haunting_minor_key_string_quartet__s1.wav
56,COMPOUND_PHRASES,energetic rock guitar with drums,0.301580,0.025730,0.275851,0.327310,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__energetic_rock_guitar_with_drums__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__energetic_rock_guitar_with_drums__s1.wav
57,GENRES,electronic dance music,0.300455,0.032087,0.268369,0.332542,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__electronic_dance_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__electronic_dance_music__s1.wav
58,TEXTURES,layered and lush orchestration,0.297605,0.022879,0.274727,0.320484,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__layered_and_lush_orchestration__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__layered_and_lush_orchestration__s1.wav
59,INSTRUMENTS,pipe organ music,0.295802,0.035260,0.260541,0.331062,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__pipe_organ_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__pipe_organ_music__s1.wav
60,TEXTURES,glitchy electronic music,0.291494,0.085122,0.206372,0.376617,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__glitchy_electronic_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__glitchy_electronic_music__s1.wav
61,EMOTION_MOOD,dark and ominous music,0.291088,0.009762,0.281326,0.300850,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__dark_and_ominous_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__dark_and_ominous_music__s1.wav
62,COMPOUND_PHRASES,fast-paced electronic dance track,0.288190,0.039102,0.249088,0.327292,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__fast_paced_electronic_dance_track__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__fast_paced_electronic_dance_track__s1.wav
63,COMPOUND_PHRASES,funky bass groove with brass section,0.284213,0.046610,0.237603,0.330823,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__funky_bass_groove_with_brass_section__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__funky_bass_groove_with_brass_section__s1.wav
64,COMPOUND_PHRASES,calm acoustic guitar with light percussion,0.277895,0.019498,0.258397,0.297393,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__calm_acoustic_guitar_with_light_percussi__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__calm_acoustic_guitar_with_light_percussi__s1.wav
65,ENVIRONMENTS,waterfall sounds,0.277155,0.017229,0.259926,0.294384,2,scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__waterfall_sounds__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__waterfall_sounds__s1.wav
66,GENRES,hip hop beat,0.275584,0.016251,0.259333,0.291835,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__hip_hop_beat__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__hip_hop_beat__s1.wav
67,EMOTION_MOOD,sad melancholic melody,0.274085,0.005717,0.268368,0.279802,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__sad_melancholic_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__sad_melancholic_melody__s1.wav
68,EMOTION_MOOD,happy upbeat music,0.270356,0.030387,0.239969,0.300744,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__happy_upbeat_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__happy_upbeat_music__s1.wav
69,INSTRUMENTS,trumpet fanfare,0.269477,0.051538,0.217939,0.321015,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__trumpet_fanfare__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__trumpet_fanfare__s1.wav
70,GENRES,trip hop beat,0.269433,0.000950,0.268483,0.270383,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__trip_hop_beat__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__trip_hop_beat__s1.wav
71,EMOTION_MOOD,dramatic and cinematic music,0.266380,0.015380,0.251000,0.281761,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__dramatic_and_cinematic_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__dramatic_and_cinematic_music__s1.wav
72,EMOTION_MOOD,playful and whimsical melody,0.265392,0.023005,0.242387,0.288397,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__playful_and_whimsical_melody__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__playful_and_whimsical_melody__s1.wav
73,TEXTURES,dry and intimate recording,0.264014,0.019547,0.244466,0.283561,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__dry_and_intimate_recording__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__dry_and_intimate_recording__s1.wav
74,COMPOUND_PHRASES,deep meditative drone with bells,0.260587,0.074739,0.185848,0.335325,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__deep_meditative_drone_with_bells__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__deep_meditative_drone_with_bells__s1.wav
75,EMOTION_MOOD,nostalgic and wistful tune,0.259007,0.034178,0.224829,0.293185,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__nostalgic_and_wistful_tune__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__nostalgic_and_wistful_tune__s1.wav
76,EMOTION_MOOD,romantic and tender music,0.258224,0.003069,0.255156,0.261293,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__romantic_and_tender_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__romantic_and_tender_music__s1.wav
77,EMOTION_MOOD,serene and tranquil music,0.254482,0.003630,0.250851,0.258112,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__serene_and_tranquil_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__serene_and_tranquil_music__s1.wav
78,GENRES,synthwave music,0.254162,0.024801,0.229361,0.278962,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__synthwave_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__synthwave_music__s1.wav
79,COMPOUND_PHRASES,upbeat jazz with saxophone and piano,0.253528,0.058046,0.195482,0.311574,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__upbeat_jazz_with_saxophone_and_piano__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__upbeat_jazz_with_saxophone_and_piano__s1.wav
80,EMOTION_MOOD,hopeful and uplifting music,0.248695,0.029921,0.218773,0.278616,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__hopeful_and_uplifting_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__hopeful_and_uplifting_music__s1.wav
81,GENRES,blues music,0.246945,0.038624,0.208320,0.285569,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__blues_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__blues_music__s1.wav
82,GENRES,big band jazz,0.241476,0.070263,0.171213,0.311739,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__big_band_jazz__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__big_band_jazz__s1.wav
83,INSTRUMENTS,bass guitar groove,0.239529,0.041883,0.197646,0.281412,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__bass_guitar_groove__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__bass_guitar_groove__s1.wav
84,GENRES,bossa nova,0.238551,0.047981,0.190570,0.286532,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__bossa_nova__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__bossa_nova__s1.wav
85,COMPOUND_PHRASES,upbeat marimba ensemble with bass,0.237235,0.026933,0.210302,0.264167,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__upbeat_marimba_ensemble_with_bass__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__upbeat_marimba_ensemble_with_bass__s1.wav
86,GENRES,folk acoustic music,0.234512,0.017731,0.216780,0.252243,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__folk_acoustic_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__folk_acoustic_music__s1.wav
87,GENRES,cinematic film score,0.231390,0.034723,0.196666,0.266113,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__cinematic_film_score__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__cinematic_film_score__s1.wav
88,COMPOUND_PHRASES,warm jazz piano trio with bass and drums,0.225595,0.006404,0.219191,0.231998,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__warm_jazz_piano_trio_with_bass_and_drums__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__warm_jazz_piano_trio_with_bass_and_drums__s1.wav
89,GENRES,experimental avant-garde music,0.225375,0.004786,0.220590,0.230161,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__experimental_avant_garde_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__experimental_avant_garde_music__s1.wav
90,ENVIRONMENTS,ocean waves crashing,0.222536,0.006057,0.216479,0.228594,2,scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__ocean_waves_crashing__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__ocean_waves_crashing__s1.wav
91,TEXTURES,cold and distant music,0.218721,0.021623,0.197098,0.240344,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__cold_and_distant_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__cold_and_distant_music__s1.wav
92,EMOTION_MOOD,peaceful and calm ambient music,0.215105,0.001475,0.213630,0.216580,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__peaceful_and_calm_ambient_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__peaceful_and_calm_ambient_music__s1.wav
93,TEXTURES,rich and full-bodied music,0.212249,0.012546,0.199702,0.224795,2,scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__rich_and_full_bodied_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/TEXTURES__rich_and_full_bodied_music__s1.wav
